No,lambda,mu,m,n,theta,T
60,9.9999999999999995e-08,1.0000000000000000e+01,3,65536,1.5258789062500000e+02,1.0003277465951510e-01
61,9.9999999999999995e-08,1.0000000000000000e+02,1,65527,6.8474264705564734e+39,1.0000655302938725e-02
62,9.9999999999999995e-08,1.0000000000000000e+02,1,65528,4.4869131433615403e+35,1.0000655312940036e-02
63,9.9999999999999995e-08,1.0000000000000000e+02,1,65529,2.9401844445819500e+31,1.0000655322941346e-02
64,9.9999999999999995e-08,1.0000000000000000e+02,1,65530,1.9266734646901065e+27,1.0000655332942655e-02
65,9.9999999999999995e-08,1.0000000000000000e+02,1,65531,1.2625491214114262e+23,1.0000655342943967e-02
66,9.9999999999999995e-08,1.0000000000000000e+02,1,65532,8.2736106475212196e+18,1.0000655352945278e-02
67,9.9999999999999995e-08,1.0000000000000000e+02,1,65533,5.4218625295336050e+14,1.0000655362946590e-02
68,9.9999999999999995e-08,1.0000000000000000e+02,1,65534,3.5531091714782562e+10,1.0000655372947901e-02
69,9.9999999999999995e-08,1.0000000000000000e+02,1,65535,2.3284945544365607e+06,1.0000655382949211e-02
70,9.9999999999999995e-08,1.0000000000000000e+02,1,65536,1.5258789062500000e+02,1.0000655392950520e-02
71,9.9999999999999995e-08,1.0000000000000000e+02,2,65527,1.7529411726979790e+42,5.0001638203671650e-03
72,9.9999999999999995e-08,1.0000000000000000e+02,2,65528,5.7432488111690223e+37,5.0001638228673283e-03
73,9.9999999999999995e-08,1.0000000000000000e+02,2,65529,1.8817180404914187e+33,5.0001638253674924e-03
74,9.9999999999999995e-08,1.0000000000000000e+02,2,65530,6.1653550737681096e+28,5.0001638278676557e-03
75,9.9999999999999995e-08,1.0000000000000000e+02,2,65531,2.0200785899201202e+24,5.0001638303678198e-03
76,9.9999999999999995e-08,1.0000000000000000e+02,2,65532,6.6188885038027719e+19,5.0001638328679840e-03
77,9.9999999999999995e-08,1.0000000000000000e+02,2,65533,2.1687450071560158e+15,5.0001638353681481e-03
78,9.9999999999999995e-08,1.0000000000000000e+02,2,65534,7.1062183276972580e+10,5.0001638378683114e-03
79,9.9999999999999995e-08,1.0000000000000000e+02,2,65535,2.3284945544365607e+06,5.0001638403684755e-03
80,9.9999999999999995e-08,1.0000000000000000e+02,2,65536,1.5258789062500000e+02,1.0000327685737278e-02
81,9.9999999999999995e-08,1.0000000000000000e+02,3,65527,2.9950643317893676e+43,3.3334061415902540e-03
82,9.9999999999999995e-08,1.0000000000000000e+02,3,65528,6.5419193489720614e+38,3.3334061427014133e-03
83,9.9999999999999995e-08,1.0000000000000000e+02,3,65529,1.4289296369981380e+34,3.3334061438125727e-03
84,9.9999999999999995e-08,1.0000000000000000e+02,3,65530,3.1212110060950320e+29,3.3334061449237324e-03
85,9.9999999999999995e-08,1.0000000000000000e+02,3,65531,6.8177652409802481e+24,3.3334061460348922e-03
86,9.9999999999999995e-08,1.0000000000000000e+02,3,65532,1.4892499133555887e+20,3.3334061471460515e-03
87,9.9999999999999995e-08,1.0000000000000000e+02,3,65533,3.2531175107339475e+15,3.3334061482572118e-03
88,9.9999999999999995e-08,1.0000000000000000e+02,3,65534,7.1062183276972580e+10,3.3334061493683715e-03
89,9.9999999999999995e-08,1.0000000000000000e+02,3,65535,2.3284945544365607e+06,5.0001092257192965e-03
90,9.9999999999999995e-08,1.0000000000000000e+02,3,65536,1.5258789062500000e+02,1.0000327682158106e-02
91,9.9999999999999995e-08,1.0000000000000000e+03,1,65527,6.8470225902629937e+48,1.0000065526429363e-03
92,9.9999999999999995e-08,1.0000000000000000e+03,1,65528,4.4866484927216293e+43,1.0000065527429375e-03
93,9.9999999999999995e-08,1.0000000000000000e+03,1,65529,2.9400110243106296e+38,1.0000065528429389e-03
94,9.9999999999999995e-08,1.0000000000000000e+03,1,65530,1.9265598241205125e+33,1.0000065529429402e-03
95,9.9999999999999995e-08,1.0000000000000000e+03,1,65531,1.2624746527461717e+28,1.0000065530429414e-03
96,9.9999999999999995e-08,1.0000000000000000e+03,1,65532,8.2731226469109363e+22,1.0000065531429428e-03
97,9.9999999999999995e-08,1.0000000000000000e+03,1,65533,5.4215427329736755e+17,1.0000065532429440e-03
98,9.9999999999999995e-08,1.0000000000000000e+03,1,65534,3.5528995991996377e+12,1.0000065533429454e-03
99,9.9999999999999995e-08,1.0000000000000000e+03,1,65535,2.3283572232394908e+07,1.0000065534429468e-03
100,9.9999999999999995e-08,1.0000000000000000e+03,1,65536,1.5258789062500000e+02,1.0000065535429479e-03
101,9.9999999999999995e-08,1.0000000000000000e+03,2,65527,1.7528377830696850e+51,5.0000163815536701e-04
102,9.9999999999999995e-08,1.0000000000000000e+03,2,65528,5.7429100705603595e+45,5.0000163818036719e-04
103,9.9999999999999995e-08,1.0000000000000000e+03,2,65529,1.8816070555183963e+40,5.0000163820536738e-04
104,9.9999999999999995e-08,1.0000000000000000e+03,2,65530,6.1649914370532494e+34,5.0000163823036756e-04
105,9.9999999999999995e-08,1.0000000000000000e+03,2,65531,2.0199594443504970e+29,5.0000163825536764e-04
106,9.9999999999999995e-08,1.0000000000000000e+03,2,65532,6.6184981173866205e+23,5.0000163828036782e-04
107,9.9999999999999995e-08,1.0000000000000000e+03,2,65533,2.1686170931429002e+18,5.0000163830536801e-04
108,9.9999999999999995e-08,1.0000000000000000e+03,2,65534,7.1057991982466826e+12,5.0000163833036819e-04
109,9.9999999999999995e-08,1.0000000000000000e+03,2,65535,2.3283572232394908e+07,5.0000163835536837e-04
110,9.9999999999999995e-08,1.0000000000000000e+03,2,65536,1.5258789062500000e+02,1.0000032767607369e-03
111,9.9999999999999995e-08,1.0000000000000000e+03,3,65527,2.9948876809167187e+52,3.3333406140159021e-04
112,9.9999999999999995e-08,1.0000000000000000e+03,3,65528,6.5415335022476591e+46,3.3333406141270138e-04
113,9.9999999999999995e-08,1.0000000000000000e+03,3,65529,1.4288453577842825e+41,3.3333406142381251e-04
114,9.9999999999999995e-08,1.0000000000000000e+03,3,65530,3.1210269150082072e+35,3.3333406143492373e-04
115,9.9999999999999995e-08,1.0000000000000000e+03,3,65531,6.8173631246829271e+29,3.3333406144603491e-04
116,9.9999999999999995e-08,1.0000000000000000e+03,3,65532,1.4891620764119898e+24,3.3333406145714608e-04
117,9.9999999999999995e-08,1.0000000000000000e+03,3,65533,3.2529256397143501e+18,3.3333406146825715e-04
118,9.9999999999999995e-08,1.0000000000000000e+03,3,65534,7.1057991982466826e+12,3.3333406147936833e-04
119,9.9999999999999995e-08,1.0000000000000000e+03,3,65535,2.3283572232394908e+07,5.0000109223571931e-04
120,9.9999999999999995e-08,1.0000000000000000e+03,3,65536,1.5258789062500000e+02,1.0000032767571579e-03
121,9.9999999999999995e-07,1.0000000000000000e+00,1,65527,7.3271706601179456e+11,1.0701206507217211e+00
122,9.9999999999999995e-07,1.0000000000000000e+00,1,65528,4.8012751183554848e+10,1.0701217958798421e+00
123,9.9999999999999995e-07,1.0000000000000000e+00,1,65529,3.1461795585559826e+09,1.0701229410404143e+00
124,9.9999999999999995e-07,1.0000000000000000e+00,1,65530,2.0616599929261497e+08,1.0701240862034374e+00
125,9.9999999999999995e-07,1.0000000000000000e+00,1,65531,1.3510056933645062e+07,1.0701252313689111e+00
126,9.9999999999999995e-07,1.0000000000000000e+00,1,65532,8.8532654091869423e+05,1.0701263765368361e+00
127,9.9999999999999995e-07,1.0000000000000000e+00,1,65533,5.8016218879483866e+04,1.0701275217072119e+00
128,9.9999999999999995e-07,1.0000000000000000e+00,1,65534,3.8009768718292157e+03,1.0701286668800387e+00
129,9.9999999999999995e-07,1.0000000000000000e+00,1,65535,2.4809321831845583e+02,1.0701298120553164e+00
130,9.9999999999999995e-07,1.0000000000000000e+00,1,65536,1.5258789062500000e+01,1.0701309572330451e+00
131,9.9999999999999995e-07,1.0000000000000000e+00,2,65527,1.8715911450130731e+14,5.1693637779052592e-01
132,9.9999999999999995e-07,1.0000000000000000e+00,2,65528,6.1319876479630811e+12,5.1693664501373993e-01
133,9.9999999999999995e-07,1.0000000000000000e+00,2,65529,2.0090844329736240e+11,5.1693691223723015e-01
134,9.9999999999999995e-07,1.0000000000000000e+00,2,65530,6.5826646899164305e+09,5.1693717946099671e-01
135,9.9999999999999995e-07,1.0000000000000000e+00,2,65531,2.1568100806511185e+08,5.1693744668503960e-01
136,9.9999999999999995e-07,1.0000000000000000e+00,2,65532,7.0668955697574215e+06,5.1693771390935861e-01
137,9.9999999999999995e-07,1.0000000000000000e+00,2,65533,2.3155340023867163e+05,5.1693798113395406e-01
138,9.9999999999999995e-07,1.0000000000000000e+00,2,65534,7.5866944889204324e+03,5.1693824835882574e-01
139,9.9999999999999995e-07,1.0000000000000000e+00,2,65535,2.4809321831845583e+02,5.1693851558397363e-01
140,9.9999999999999995e-07,1.0000000000000000e+00,2,65536,1.5258789062500000e+01,1.0338775656187957e+00
141,9.9999999999999995e-07,1.0000000000000000e+00,3,65527,3.1977146862448980e+15,3.4077657269771611e-01
142,9.9999999999999995e-07,1.0000000000000000e+00,3,65528,6.9845550081856141e+13,3.4077668882638779e-01
143,9.9999999999999995e-07,1.0000000000000000e+00,3,65529,1.5256130685876228e+12,3.4077680495513851e-01
144,9.9999999999999995e-07,1.0000000000000000e+00,3,65530,3.3323966256826107e+10,3.4077692108396840e-01
145,9.9999999999999995e-07,1.0000000000000000e+00,3,65531,7.2790650260327172e+08,3.4077703721287744e-01
146,9.9999999999999995e-07,1.0000000000000000e+00,3,65532,1.5900146674031664e+07,3.4077715334186565e-01
147,9.9999999999999995e-07,1.0000000000000000e+00,3,65533,3.4732247061421425e+05,3.4077726947093306e-01
148,9.9999999999999995e-07,1.0000000000000000e+00,3,65534,7.5866944889204324e+03,3.4077738560007953e-01
149,9.9999999999999995e-07,1.0000000000000000e+00,3,65535,2.4809321831845583e+02,5.1116625259395776e-01
150,9.9999999999999995e-07,1.0000000000000000e+00,3,65536,1.5258789062500000e+01,1.0334992803637451e+00
151,9.9999999999999995e-07,1.0000000000000000e+01,1,65527,6.8921460816296831e+20,1.0065958191003044e-01
152,9.9999999999999995e-07,1.0000000000000000e+01,1,65528,4.5162165629094830e+18,1.0065959204238185e-01
153,9.9999999999999995e-07,1.0000000000000000e+01,1,65529,2.9593863893433260e+16,1.0065960217473531e-01
154,9.9999999999999995e-07,1.0000000000000000e+01,1,65530,1.9392563070727869e+14,1.0065961230709083e-01
155,9.9999999999999995e-07,1.0000000000000000e+01,1,65531,1.2707946580246973e+12,1.0065962243944836e-01
156,9.9999999999999995e-07,1.0000000000000000e+01,1,65532,8.3276444734016428e+09,1.0065963257180796e-01
157,9.9999999999999995e-07,1.0000000000000000e+01,1,65533,5.4572719663095638e+07,1.0065964270416958e-01
158,9.9999999999999995e-07,1.0000000000000000e+01,1,65534,3.5763130376816465e+05,1.0065965283653323e-01
159,9.9999999999999995e-07,1.0000000000000000e+01,1,65535,2.3436009861142902e+03,1.0065966296889893e-01
160,9.9999999999999995e-07,1.0000000000000000e+01,1,65536,1.5258789062500000e+01,1.0065967310126667e-01
161,9.9999999999999995e-07,1.0000000000000000e+01,2,65527,1.7643513829489108e+23,5.0164353463006163e-02
162,9.9999999999999995e-07,1.0000000000000000e+01,2,65528,5.7806326535246650e+20,5.0164355979468514e-02
163,9.9999999999999995e-07,1.0000000000000000e+01,2,65529,1.8939664826008210e+18,5.0164358495931129e-02
164,9.9999999999999995e-07,1.0000000000000000e+01,2,65530,6.2054864819174600e+15,5.0164361012393993e-02
165,9.9999999999999995e-07,1.0000000000000000e+01,2,65531,2.0332276458002508e+13,5.0164363528857107e-02
166,9.9999999999999995e-07,1.0000000000000000e+01,2,65532,6.6619720428418106e+10,5.0164366045320478e-02
167,9.9999999999999995e-07,1.0000000000000000e+01,2,65533,2.1828617590575477e+08,5.0164368561784099e-02
168,9.9999999999999995e-07,1.0000000000000000e+01,2,65534,7.1524734828159132e+05,5.0164371078247970e-02
169,9.9999999999999995e-07,1.0000000000000000e+01,2,65535,2.3436009861142902e+03,5.0164373594712090e-02
170,9.9999999999999995e-07,1.0000000000000000e+01,2,65536,1.5258789062500000e+01,1.0032875222235293e-01
171,9.9999999999999995e-07,1.0000000000000000e+01,3,65527,3.0145596750800016e+24,3.3406299369979714e-02
172,9.9999999999999995e-07,1.0000000000000000e+01,3,65528,6.5845017276322415e+21,3.3406300485960556e-02
173,9.9999999999999995e-07,1.0000000000000000e+01,3,65529,1.4382307640276183e+19,3.3406301601941468e-02
174,9.9999999999999995e-07,1.0000000000000000e+01,3,65530,3.1415274578655268e+16,3.3406302717922456e-02
175,9.9999999999999995e-07,1.0000000000000000e+01,3,65531,6.8621431437975945e+13,3.3406303833903514e-02
176,9.9999999999999995e-07,1.0000000000000000e+01,3,65532,1.4989436745203342e+11,3.3406304949884648e-02
177,9.9999999999999995e-07,1.0000000000000000e+01,3,65533,3.2742925622888839e+08,3.3406306065865865e-02
178,9.9999999999999995e-07,1.0000000000000000e+01,3,65534,7.1524734828159132e+05,3.3406307181847145e-02
179,9.9999999999999995e-07,1.0000000000000000e+01,3,65535,2.3436009861142902e+03,5.0109462446742754e-02
180,9.9999999999999995e-07,1.0000000000000000e+01,3,65536,1.5258789062500000e+01,1.0032839236214472e-01
181,9.9999999999999995e-07,1.0000000000000000e+02,1,65527,6.8514678955708582e+29,1.0006556896406326e-02
182,9.9999999999999995e-07,1.0000000000000000e+02,1,65528,4.4895613679307153e+26,1.0006556996537509e-02
183,9.9999999999999995e-07,1.0000000000000000e+02,1,65529,2.9419197731776398e+23,1.0006557096668691e-02
184,9.9999999999999995e-07,1.0000000000000000e+02,1,65530,1.9278106081655760e+20,1.0006557196799874e-02
185,9.9999999999999995e-07,1.0000000000000000e+02,1,65531,1.2632942915309018e+17,1.0006557296931062e-02
186,9.9999999999999995e-07,1.0000000000000000e+02,1,65532,8.2784938218311516e+13,1.0006557397062250e-02
187,9.9999999999999995e-07,1.0000000000000000e+02,1,65533,5.4250625713213890e+10,1.0006557497193444e-02
188,9.9999999999999995e-07,1.0000000000000000e+02,1,65534,3.5552062538640454e+07,1.0006557597324635e-02
189,9.9999999999999995e-07,1.0000000000000000e+02,1,65535,2.3298678664072635e+04,1.0006557697455830e-02
190,9.9999999999999995e-07,1.0000000000000000e+02,1,65536,1.5258789062500000e+01,1.0006557797587029e-02
191,9.9999999999999995e-07,1.0000000000000000e+02,2,65527,1.7539754044850037e+32,5.0016386868747837e-03
192,9.9999999999999995e-07,1.0000000000000000e+02,2,65528,5.7466373164844413e+28,5.0016387118911746e-03
193,9.9999999999999995e-07,1.0000000000000000e+02,2,65529,1.8828282503729627e+25,5.0016387369075637e-03
194,9.9999999999999995e-07,1.0000000000000000e+02,2,65530,6.1689926209344949e+21,5.0016387619239537e-03
195,9.9999999999999995e-07,1.0000000000000000e+02,2,65531,2.0212704322491871e+18,5.0016387869403446e-03
196,9.9999999999999995e-07,1.0000000000000000e+02,2,65532,6.6227936347860725e+14,5.0016388119567346e-03
197,9.9999999999999995e-07,1.0000000000000000e+02,2,65533,2.1700245623739545e+11,5.0016388369731254e-03
198,9.9999999999999995e-07,1.0000000000000000e+02,2,65534,7.1104109818026170e+07,5.0016388619895172e-03
199,9.9999999999999995e-07,1.0000000000000000e+02,2,65535,2.3298678664072635e+04,5.0016388870059081e-03
200,9.9999999999999995e-07,1.0000000000000000e+02,2,65536,1.5258789062500000e+01,1.0003277824044600e-02
201,9.9999999999999995e-07,1.0000000000000000e+02,3,65527,2.9968314136865161e+33,3.3340615590566349e-03
202,9.9999999999999995e-07,1.0000000000000000e+02,3,65528,6.5457790681545440e+29,3.3340615701726007e-03
203,9.9999999999999995e-07,1.0000000000000000e+02,3,65529,1.4297727025934371e+26,3.3340615812885673e-03
204,9.9999999999999995e-07,1.0000000000000000e+02,3,65530,3.1230525142748447e+22,3.3340615924045340e-03
205,9.9999999999999995e-07,1.0000000000000000e+02,3,65531,6.8217877086810184e+18,3.3340616035205006e-03
206,9.9999999999999995e-07,1.0000000000000000e+02,3,65532,1.4901285677919190e+15,3.3340616146364673e-03
207,9.9999999999999995e-07,1.0000000000000000e+02,3,65533,3.2550368434846338e+11,3.3340616257524344e-03
208,9.9999999999999995e-07,1.0000000000000000e+02,3,65534,7.1104109818026170e+07,3.3340616368684015e-03
209,9.9999999999999995e-07,1.0000000000000000e+02,3,65535,2.3298678664072635e+04,5.0010924719765528e-03
210,9.9999999999999995e-07,1.0000000000000000e+02,3,65536,1.5258789062500000e+01,1.0003277465951510e-02
211,9.9999999999999995e-07,1.0000000000000000e+03,1,65527,6.8474264705564749e+38,1.0000655302938725e-03
212,9.9999999999999995e-07,1.0000000000000000e+03,1,65528,4.4869131433615407e+34,1.0000655312940037e-03
213,9.9999999999999995e-07,1.0000000000000000e+03,1,65529,2.9401844445819508e+30,1.0000655322941346e-03
214,9.9999999999999995e-07,1.0000000000000000e+03,1,65530,1.9266734646901069e+26,1.0000655332942658e-03
215,9.9999999999999995e-07,1.0000000000000000e+03,1,65531,1.2625491214114266e+22,1.0000655342943968e-03
216,9.9999999999999995e-07,1.0000000000000000e+03,1,65532,8.2736106475212186e+17,1.0000655352945280e-03
217,9.9999999999999995e-07,1.0000000000000000e+03,1,65533,5.4218625295336047e+13,1.0000655362946589e-03
218,9.9999999999999995e-07,1.0000000000000000e+03,1,65534,3.5531091714782572e+09,1.0000655372947901e-03
219,9.9999999999999995e-07,1.0000000000000000e+03,1,65535,2.3284945544365607e+05,1.0000655382949211e-03
220,9.9999999999999995e-07,1.0000000000000000e+03,1,65536,1.5258789062500000e+01,1.0000655392950523e-03
221,9.9999999999999995e-07,1.0000000000000000e+03,2,65527,1.7529411726979790e+41,5.0001638203671644e-04
222,9.9999999999999995e-07,1.0000000000000000e+03,2,65528,5.7432488111690240e+36,5.0001638228673291e-04
223,9.9999999999999995e-07,1.0000000000000000e+03,2,65529,1.8817180404914190e+32,5.0001638253674928e-04
224,9.9999999999999995e-07,1.0000000000000000e+03,2,65530,6.1653550737681109e+27,5.0001638278676565e-04
225,9.9999999999999995e-07,1.0000000000000000e+03,2,65531,2.0200785899201210e+23,5.0001638303678203e-04
226,9.9999999999999995e-07,1.0000000000000000e+03,2,65532,6.6188885038027715e+18,5.0001638328679840e-04
227,9.9999999999999995e-07,1.0000000000000000e+03,2,65533,2.1687450071560159e+14,5.0001638353681477e-04
228,9.9999999999999995e-07,1.0000000000000000e+03,2,65534,7.1062183276972589e+09,5.0001638378683114e-04
229,9.9999999999999995e-07,1.0000000000000000e+03,2,65535,2.3284945544365607e+05,5.0001638403684751e-04
230,9.9999999999999995e-07,1.0000000000000000e+03,2,65536,1.5258789062500000e+01,1.0000327685737280e-03
231,9.9999999999999995e-07,1.0000000000000000e+03,3,65527,2.9950643317893676e+42,3.3334061415902540e-04
232,9.9999999999999995e-07,1.0000000000000000e+03,3,65528,6.5419193489720627e+37,3.3334061427014132e-04
233,9.9999999999999995e-07,1.0000000000000000e+03,3,65529,1.4289296369981382e+33,3.3334061438125730e-04
234,9.9999999999999995e-07,1.0000000000000000e+03,3,65530,3.1212110060950324e+28,3.3334061449237328e-04
235,9.9999999999999995e-07,1.0000000000000000e+03,3,65531,6.8177652409802503e+23,3.3334061460348925e-04
236,9.9999999999999995e-07,1.0000000000000000e+03,3,65532,1.4892499133555886e+19,3.3334061471460523e-04
237,9.9999999999999995e-07,1.0000000000000000e+03,3,65533,3.2531175107339481e+14,3.3334061482572115e-04
238,9.9999999999999995e-07,1.0000000000000000e+03,3,65534,7.1062183276972589e+09,3.3334061493683713e-04
239,9.9999999999999995e-07,1.0000000000000000e+03,3,65535,2.3284945544365607e+05,5.0001092257192961e-04
240,9.9999999999999995e-07,1.0000000000000000e+03,3,65536,1.5258789062500000e+01,1.0000327682158107e-03
241,1.0000000000000001e-05,1.0000000000000000e+00,1,65527,1.9575889428696101e+02,2.9005768896635913e+00
242,1.0000000000000001e-05,1.0000000000000000e+00,1,65528,1.2727493065941691e+02,2.9006610184898616e+00
243,1.0000000000000001e-05,1.0000000000000000e+00,1,65529,8.2400716562502751e+01,2.9007451521960368e+00
244,1.0000000000000001e-05,1.0000000000000000e+00,1,65530,5.2996365556242438e+01,2.9008292907825410e+00
245,1.0000000000000001e-05,1.0000000000000000e+00,1,65531,3.3728518349005661e+01,2.9009134342497993e+00
246,1.0000000000000001e-05,1.0000000000000000e+00,1,65532,2.1102635359286907e+01,2.9009975825982361e+00
247,1.0000000000000001e-05,1.0000000000000000e+00,1,65533,1.2828979003647895e+01,2.9010817358282761e+00
248,1.0000000000000001e-05,1.0000000000000000e+00,1,65534,7.4072148104605775e+00,2.9011658939403446e+00
249,1.0000000000000001e-05,1.0000000000000000e+00,1,65535,3.8542441538872350e+00,2.9012500569348654e+00
250,1.0000000000000001e-05,1.0000000000000000e+00,1,65536,1.5258789062499998e+00,2.9013342248122642e+00
251,1.0000000000000001e-05,1.0000000000000000e+00,2,65527,3.4613423871042309e+04,7.4363548085155129e-01
252,1.0000000000000001e-05,1.0000000000000000e+00,2,65528,1.1340069129988944e+04,7.4364101076879807e-01
253,1.0000000000000001e-05,1.0000000000000000e+00,2,65529,3.7149602497495785e+03,7.4364654076828907e-01
